2023-05-16 00:00:00.000;1754-01-01 09:02:16.000;1;K510005;007-WIEN-HIRSCH;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522177
2023-05-16 00:00:00.000;1754-01-01 09:02:16.000;1;K550229;175-VILLACH;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522178
2023-05-16 00:00:00.000;1754-01-01 09:02:16.017;1;K550268;177-GERASDORF;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522179
2023-05-16 00:00:00.000;1754-01-01 09:02:16.017;1;K550274;178-WIEN AUHOF;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522180
2023-05-16 00:00:00.000;1754-01-01 09:02:16.017;1;K510032;034-NEU-ULM;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522181
2023-05-16 00:00:00.000;1754-01-01 09:02:16.033;1;K510039;041-STRAUBING;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522182
2023-05-16 00:00:00.000;1754-01-01 09:02:16.033;1;K510044;046-SINGEN;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522183
2023-05-16 00:00:00.000;1754-01-01 09:02:16.033;1;K510064;066-KOENIGSBRU;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522184
2023-05-16 00:00:00.000;1754-01-01 09:02:16.033;1;K510069;071-KEMPTEN;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522185
2023-05-16 00:00:00.000;1754-01-01 09:02:16.047;1;K510070;073-MUENCH. III;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522186
2023-05-16 00:00:00.000;1754-01-01 09:02:16.047;1;K510075;080-SENDEN;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522187
2023-05-16 00:00:00.000;1754-01-01 09:02:16.047;1;K510076;082-RAIN (BLUM;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522188
2023-05-16 00:00:00.000;1754-01-01 09:02:16.047;1;K510082;088-LANDSHUT;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522189
2023-05-16 00:00:00.000;1754-01-01 09:02:16.063;1;K510087;093-BOEBLINGEN;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522190
2023-05-16 00:00:00.000;1754-01-01 09:02:16.063;1;K510093;101-TRAUNSTEIN;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522191
2023-05-16 00:00:00.000;1754-01-01 09:02:16.063;1;K510098;108-HAMBURG II;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522192
2023-05-16 00:00:00.000;1754-01-01 09:02:16.063;1;K510099;109-FRECHEN;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522193
2023-05-16 00:00:00.000;1754-01-01 09:02:16.080;1;K510104;117-KIEL;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522194
2023-05-16 00:00:00.000;1754-01-01 09:02:16.080;1;K550181;127-NUERNBERG;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522195
2023-05-16 00:00:00.000;1754-01-01 09:02:16.080;1;K550183;130-INGOLSTADT;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522196
2023-05-16 00:00:00.000;1754-01-01 09:02:16.080;1;K550056;140-HORB;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522197
2023-05-16 00:00:00.000;1754-01-01 09:02:16.097;1;K510003;005-ST.POELTEN;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DO;11522198
2023-05-16 00:00:00.000;1754-01-01 13:25:41.987;1;K550060;141-BIBERACH;1x6;Microsorum Pteropus Narrow;A913ADED-B958-4360-B60C-02348075AC26;DI;11530852
2023-05-16 00:00:00.000;1754-01-01 13:22:27.907;1;K550201;173-WALS-SIEZE;1x6;Bacopa crenta Monnieri;0A507F1A-235D-44BE-9FA5-026AB25BC212;DI;11530598
2023-05-16 00:00:00.000;1754-01-01 13:22:27.907;1;K550229;175-VILLACH;1x6;Bacopa crenta Monnieri;0A507F1A-235D-44BE-9FA5-026AB25BC212;DI;11530599
2023-05-16 00:00:00.000;1754-01-01 13:22:27.923;1;K510078;084-INGOLSTADT;1x6;Bacopa crenta Monnieri;0A507F1A-235D-44BE-9FA5-026AB25BC212;DI;11530600
2023-05-16 00:00:00.000;1754-01-01 13:22:27.923;1;K510092;098-RAVENSBURG;1x6;Bacopa crenta Monnieri;0A507F1A-235D-44BE-9FA5-026AB25BC212;DI;11530601
