timestamp;Verzendnummer;Bestemmings code;Verdeel code;Aantal op stikker;Source;Source Subtype;Source ID;Source Ref_ No_;Box activiteit entry;Dehner Order Entry;Dehner Order Regel Entry Rgl;Dehner Order Verdeel Entry Rgl;Voorbouw Inkooporder nummer;Voorbouw Klantnummer;Voorbouw KarId
0x000000002B2EB035;45660;00398174880015344885990440;3054036670002944001100001800001800010001;18.00000000000000000000;37;1;KO23-07679;290000;11798213;141710;290000;3750000;;;0
0x000000002B2EB047;45660;00398174880015344885990440;3054040750001144001100000500000500010001;5.00000000000000000000;37;1;KO23-07684;110000;11804657;141717;110000;1480000;;;0
0x000000002B2EB059;45660;00398174880015344885990440;3054041070002644001100001200001200010001;12.00000000000000000000;37;1;KO23-07695;260000;11802441;141722;260000;3530000;;;0
0x000000002B2EB053;45660;00398174880015344885990440;3054041070002744001100001200001200010001;12.00000000000000000000;37;1;KO23-07695;270000;11802475;141722;270000;3630000;;;0
0x000000002B2EB043;45660;00398174880015344885990440;3054041070005344001100001200001200010001;12.00000000000000000000;37;1;KO23-07695;530000;11802321;141722;530000;7710000;;;0
0x000000002B2EB057;45660;00398174880015344885990440;3054041540001644001100000900001400010001;9.00000000000000000000;37;1;KO23-07706;160000;11804938;141729;160000;2180000;;;0
0x000000002B2EB04F;45660;00398174880015344885990440;3054041850000544001100000800000800010001;8.00000000000000000000;37;1;KO23-07712;50000;11803007;141735;50000;180000;;;0
0x000000002B2EB05F;45660;00398174880015344885990440;3054041850001044001100000200000200010001;2.00000000000000000000;37;1;KO23-07712;100000;11803467;141735;100000;560000;;;0
0x000000002B2EB04D;45660;00398174880015344885990440;3054041850001644001100000800000800010001;8.00000000000000000000;37;1;KO23-07712;160000;11802985;141735;160000;810000;;;0
0x000000002B2EB075;45660;00398174880015344885990440;3054042690000244001100000200000200010001;2.00000000000000000000;37;1;KO23-07720;20000;11804629;141742;20000;70000;;;0
0x000000002B2EB0A3;45660;00398174880015344885990440;3054042690000344001100000300000300010001;3.00000000000000000000;37;1;KO23-07720;30000;11804138;141742;30000;90000;;;0
